Month,Japan,Hokkaido,Tohoku,Kanto,Kanto(north),Kanto(south),Kanto(Tokyo),Koushinetsu,Tokai,Hokuriku,Kinki,Chugoku,Shikoku,Kyusyu,Okinawa
200201,35.5,35.4,32.8,33.8,33.3,33.9,35.2,34.5,35.1,31.4,35.9,39.4,39.8,34.8,48.3
200202,34.5,34.3,33.1,31.1,31.9,30.8,33,31.8,38.9,31.7,34.3,36.6,34,36,52
200203,41.6,39.3,38,39.3,36.7,40.2,44.5,40.7,43.3,39.6,43.5,42.9,43.6,43,56.7
200204,43.9,39.6,42.8,41.9,38.4,43.3,46.9,43.4,47.8,44.4,43.8,46,44.8,44.5,55.1
200205,45.3,40.3,47.4,44.4,42.8,45,47.4,45.9,47.4,44.6,43.3,47.8,44.7,47.6,52.1
200206,42.6,37.6,44.1,39.7,35.6,41.3,45.3,47.3,43.4,44.8,42.4,46.8,41.9,41,51.4
200207,42.1,40.1,42.4,39.9,38,40.7,42.5,44.2,40.8,44.3,40,45.4,41.4,39.3,46.7
200208,42.2,40.4,43.3,41.4,41,41.6,41.6,44.5,43.4,45.1,43,45.4,37.4,39.8,41
200209,41.8,42.5,42.5,40.1,38.1,40.9,39,43.9,43.6,47.4,39.2,43.7,39,40.3,47.5
200210,39,38.2,39.4,36.7,35.6,37,35.3,39.2,43.4,38.8,36,43.3,37.8,36.1,47.8
200211,38.4,41.2,38.6,36.3,36.1,36.4,38.5,40.4,39.5,36.8,34.5,41.2,39.4,38.6,52.9
200212,38.5,41,38.4,38.3,35.9,39.3,40.4,38.8,40.6,36.8,36.3,39.1,36.5,37.5,50.7
200301,38.9,40.5,38.5,38.6,37.5,39,38.6,36.6,39.5,35.9,37.7,41.1,36.9,37.9,49.9
200302,39.5,41.2,38.2,37.9,36.1,38.6,42.9,35.7,40,39.8,39.4,44.5,38.7,38.3,51.2
200303,38.8,40.9,37.2,37.2,36.3,37.5,36.8,38.1,40.2,39.1,37.8,41.8,39.3,40.1,37.2
200304,36,30.9,32,35.6,32.5,36.7,36.4,36.8,37.7,36.7,36.7,40.4,36.8,37.3,37.1
200305,37.7,33.2,38.2,36.5,38.1,35.9,38.9,38.3,37.2,40.7,38.1,40.7,38.1,39.4,34.5
200306,41.9,39.3,40.3,41.7,39.9,42.5,45,39.2,43.4,42.2,42.5,42.4,43.2,41.5,47.1
200307,44.3,41.2,41.8,42.6,40.2,43.4,46.3,42.2,45.3,41.1,45.1,45.2,43.7,44.5,58.1
200308,45.2,43.2,40.6,43.7,40.7,44.8,50.3,42.3,47.4,40.1,48.9,46.9,47.5,47.2,54.3
200309,47.9,45.4,44.4,46.3,44.4,47.1,52.3,45.1,48.8,47.6,52.2,48,48.5,49.2,56.7
200310,51.7,46,46.4,50.1,46.6,51.4,53,48.6,55.6,49.2,55.7,53.3,52.8,51.8,56.6
200311,49.8,46.9,48.5,48.5,48,48.7,51.5,47.8,53.7,52,54.1,50.7,45.7,47.4,52.7
200312,50.8,47.2,47.8,50.7,49.4,51.2,53.4,49.2,52.3,50.9,55.5,51.6,48.7,48.9,57.1
200401,51.6,47,48.2,50.9,45.7,52.9,56.2,51.6,54.2,54.2,55,50.6,50.4,51,53.3
200402,51.3,48.2,47.7,52.9,49.3,54.2,59.2,51.4,54,51.8,54.7,51.7,48.2,49.1,50.1
200403,51.5,47.1,49.4,50.2,49.9,50.3,55.1,49.4,55.2,50.6,55.5,52.2,49.5,48.7,55.6
200404,53.2,49.5,49.2,52.7,51.5,53.1,56.6,54.9,55.5,52.5,58.1,53.4,49.8,52.4,59.5
200405,51.8,48.7,48.1,50.6,48.4,51.4,55.1,49,55.6,52.5,57.5,51.4,50.5,50.4,64.1
200406,51,49.2,47.7,50.6,50.1,50.8,52.6,51.7,54.7,50.1,53.8,51,48.1,50.3,54.5
200407,53.6,50.7,53.5,53.6,52.6,54,55.9,52.2,54,57,56.1,51.8,49.1,51.3,56
200408,49.9,49.5,48.3,50,49.5,50.2,51.1,49.4,52.2,52.3,50.8,50.2,48.3,46.4,52.8
200409,46.7,46.8,44.8,46.5,42.1,48.2,50.9,46.7,48.1,46.7,48.3,48.5,44.7,44.8,48.5
200410,47.2,48.5,43.8,46.9,45.8,47.3,50.8,46.5,47.1,47.4,49.5,46.7,47.1,45.4,49
200411,46.7,45.3,42.3,47.9,46,48.6,50.9,43.8,48.7,46.7,49.2,46.1,47.9,45.7,49.3
200412,45.9,47.2,41.2,45.4,43,46.2,49.8,46.4,48.6,49.3,47.4,44.3,45.8,45.9,47.4
200501,48.4,48.7,43.3,46,44.1,46.7,51.9,49.2,48.5,48.3,50.8,47.9,51.5,49.9,51.2
200502,46.6,45.8,43.6,44.8,43.3,45.4,49.6,48.3,49.9,44.5,48.5,45.9,46.3,48.3,51.2
200503,47,48.5,44.4,46.7,42,48.5,51.5,48.6,47.5,46.7,47.7,46.8,44.7,46.8,50.6
200504,47.1,47.2,42.4,46,42.2,47.4,49.5,47.3,50.5,48.5,48.9,47,47.6,47.6,51.5
200505,49.6,49.6,45.2,49.2,45,50.8,52.9,48.2,52.5,47.7,51,50.8,47,50.3,55.6
200506,50.5,48.7,43.1,50.1,46.3,51.6,53.8,47.4,52.8,51,52.6,52.3,54.2,52.4,55.2
200507,49.8,48.6,43,49.4,45.7,50.8,52.2,46.9,52.1,51.4,51.5,50.2,48,51.6,52.8
200508,49.6,47.5,44.3,49.3,45.1,50.9,53.8,51.3,51.7,43.8,53,49.8,49.5,53.1,50.9
200509,51.1,50.6,45.9,50.6,48.6,51.3,54.1,50.5,56.6,48,53.3,50.9,50.5,52.3,50
200510,51.4,46.9,46.6,50.4,44.7,52.4,55.6,51.6,54,49.9,55.1,52.3,50.1,52.2,50.6
200511,54.3,53.7,53.1,54.1,48.6,56,59.2,56.1,55.8,51.4,58.7,54.5,49.5,54.6,51.3
200512,57.5,54,51.4,58.5,56.2,59.3,61.8,60.7,59.8,50.5,63.3,55.1,54.3,60.4,60.5
200601,55.6,54.9,52.3,54.7,52.1,55.6,59.6,54.6,56.2,52.1,59.8,55.8,53.2,55.4,53.6
200602,55,53.8,50.8,54.2,52.7,54.8,58.2,55.4,55.2,56.2,57.5,54.7,53.6,58.2,52.1
200603,54.8,54.2,49.1,54.7,53.6,55.1,58.2,53.7,56.7,54.5,58.2,55.4,52.3,55.6,51.3
200604,52.4,52,49.5,52.5,51,53.1,56.4,52.6,54.3,52.3,54.2,52.4,51.1,51,50.1
