Month,Total,Kakei,Kakei(kouri),Kakei(inshoku),Kakei(service),Kakei(zyutaku),Kigyo,Kigyo(maker),Kigyo(non-maker),Koyou
200201,35.5,37.3,36.8,38.2,38.6,36,33.6,32.8,33.8,27
200202,34.5,34.8,32,36.1,39.2,39.8,35.6,35.4,36.2,29.6
200203,41.6,42.3,41.9,39.7,43.8,42.6,41.3,40.7,42.1,37.3
200204,43.9,44,45.2,38.3,43.3,42.3,44,44.6,43.6,43.3
200205,45.3,44.2,45.5,37.5,43.2,44.2,48.3,49.7,46.7,46.8
200206,42.6,41.3,41.9,34.7,41.9,41,44.6,46.3,43.2,47.1
200207,42.1,41,41.5,34.7,41.2,41.2,44.1,45.5,42.4,45.5
200208,42.2,41.4,40.9,36.8,42.5,46.2,43.2,43.4,42.6,45.1
200209,41.8,41.3,40.8,41.8,42.3,40.5,42.7,44.1,41.2,43.6
200210,39,38.2,38.1,34.8,39.6,36.3,40,40.9,38.4,42.2
200211,38.4,37.4,37.8,33.3,36.9,39.5,40.7,40.8,40.1,40.3
200212,38.5,37.1,36.1,35.2,38.9,40.7,41.8,43.7,39.8,41.3
200301,38.9,38.1,36.9,35.6,40.6,41,40.1,41.4,38.6,42.2
200302,39.5,38.4,38.7,37,37.8,40.1,40.6,41.9,39.2,44.8
200303,38.8,37.7,36.8,37,38.5,42.6,39.4,40.1,38.6,45.4
200304,36,34.5,34.8,32.7,34.1,35.4,37.1,36.2,37.7,44.3
200305,37.7,36.3,37.1,34.6,34.4,39.1,39.4,40.3,38.3,43.1
200306,41.9,40.8,40.2,36.8,43.3,40.3,43,44.5,41.5,46.8
200307,44.3,43,40.7,43.4,47.3,45,45.9,47,44.3,50
200308,45.2,43.4,41.4,39.3,48.9,42.7,47.2,48,46.5,53
200309,47.9,46,45.2,44.6,47.6,47.7,50,49,51.2,56.4
200310,51.7,50.3,50.4,45.3,51.7,47.6,52.7,52.9,52.4,58.8
200311,49.8,47.4,44.6,46.9,52.9,50.7,52,53.1,50.9,60.9
200312,50.8,48.7,47.6,46.4,51.3,49.7,51.9,52.2,52,62.5
200401,51.6,49.6,48.9,48,51.4,49.7,53.3,54.5,52.7,62.1
200402,51.3,49.3,48.4,46.3,51.4,51.9,52.4,54,51.9,62.3
200403,51.5,49,48,46.8,50.9,51.6,53.6,55.7,52.4,63.8
200404,53.2,50.7,48.8,52.1,53.6,54.8,55.8,58.2,54.2,64.2
200405,51.8,48.9,45.8,51.4,53.7,54.3,55,55.3,55,64.5
200406,51,48.5,46.6,50.3,51,53,53.4,53.3,53.7,63.7
200407,53.6,51.8,52.5,47.7,51.3,51.5,54.6,52.4,56.7,63.3
200408,49.9,47.1,46.7,46.8,47.2,50.2,52.3,51.9,52.3,63.3
200409,46.7,44.5,43.2,45,47.2,45.2,48.7,48.3,49.2,57.5
200410,47.2,44.9,44.4,39.1,46.6,48,48.4,47.2,49.5,59.9
200411,46.7,44.6,44.1,41.8,46.2,45.2,47.2,45.5,48.2,59.6
200412,45.9,44.8,44.3,41.3,46.4,45.4,44.5,41.2,47.6,56.2
200501,48.4,47.7,47.6,48.3,48.2,45.7,47,45.2,48.9,56.2
200502,46.6,45.1,42.4,48.1,49.9,46.3,47.1,45.1,49,55.5
200503,47,45.4,44,40.3,49.9,44.1,48.1,46.2,49.9,55.1
200504,47.1,46.2,46,39.5,48.5,45,47.9,44.8,50.6,52
200505,49.6,48.5,49.1,44.2,48.6,47.6,49.8,48.4,51.3,55.9
200506,50.5,49.9,49.3,48,52,49.1,48.7,46.2,50.7,58.2
200507,49.8,48.9,48.5,47.9,50.2,48.7,48.5,47.1,50.3,57.9
200508,49.6,48.2,48.3,48.6,47.3,50.2,50.5,50,51.6,57.3
200509,51.1,49.5,48,48.8,52.3,52.4,52.3,51.9,53.3,58.7
200510,51.4,49.6,48.5,50.2,51.2,52,52.8,51.9,54,59.7
200511,54.3,52.7,52.1,50.6,54.3,54.7,55.6,54,57.3,61.7
200512,57.5,56.2,56.7,52.7,56.9,53,57.7,55.2,60.5,64.8
200601,55.6,53.9,53.8,52.5,54.1,55.6,56,54.5,58.3,65.8
200602,55,53.3,53.1,50.4,54.4,53.5,56,55,57.6,64
200603,54.8,53.1,52.9,51.7,53.6,53.9,55.5,54.4,56.9,64.3
200604,52.4,50.8,49.8,50.9,52.7,52,52.1,49.7,55.1,62.7
200605,50.4,49.1,47.6,47.7,52.3,49.5,50,47.4,52.9,60
200606,48.4,46.6,44.9,45.6,50.3,47.4,49.2,49.6,49.5,58.6
200607,47.4,45.7,44,48.1,47.5,51.4,48.6,46.9,49.7,56
200608,49.3,48.1,47.5,43.8,49.5,52.5,48.7,46,50.9,57.7
200609,50.4,49.3,49.2,44.1,50,51.6,50.2,47.9,51.7,57.8
200610,51.7,50.5,49.3,46.4,53.3,52.7,51.6,48.9,53.5,59.8
200611,50.4,49,47.3,46.5,52,52.5,51.3,49.2,53.5,57.5
200612,51.6,50.2,48.6,47.8,53.6,52.9,52.5,51.1,54,58.5
200701,51,49.4,47.8,47.6,52.4,52.8,51.7,50.7,52.7,59.4
200702,50.7,49.5,48,50.6,52.4,50,50.9,49.9,52.2,57.8
200703,48.1,46.7,45.4,46.3,49,49.3,49,47.2,50.4,55.3
200704,46.9,45.3,44,43.3,48.2,47.6,47.5,47.2,48,55.1
200705,45.6,45.1,43.9,45.8,47.6,45.1,44.8,41.7,47.2,50.2
200706,44.9,44,43.1,43.5,45.5,45.8,44.6,43.4,45.6,51
200707,43.3,41.7,40.6,41.2,43.9,42.3,45.4,45.5,45.6,49.5
200708,43,42.7,41.2,43.5,45.9,41.6,42.5,41.9,43.3,46.3
200709,42.2,41.4,39.4,40.2,46.1,41.3,42.7,42.9,43,45.6
200710,42.6,42.7,42.7,39.6,43.6,42.5,41.9,41.9,41.6,43.5
200711,41.1,40.6,40.6,38.8,42.1,36.7,41.1,43.1,38.7,43.9
200712,39.4,39.1,38.4,37,41.3,38.5,39,40.5,36.6,42.1
200801,35.9,35.6,34.5,33.2,38.7,34.5,36.2,37.2,34.8,37.4
200802,35.2,34.8,33.6,33.3,37.5,35.7,35.7,36.8,34.6,36.7
200803,34.4,34.4,33.3,31.7,37.7,33.1,34.4,34.5,34.1,34.5
200804,32.2,32.1,31.2,28.7,34.9,32.2,32.8,33.8,31.8,31.3
200805,30.4,30.1,28.4,27.8,34.2,30.3,31.1,31.8,30.3,30.8
200806,28.2,28.2,28,26.1,29.9,25.8,29.2,29.8,28.3,25.6
200807,27,28.6,28,26.6,31.5,22.9,25,25.1,25.1,21.9
200808,27.3,27.8,26.4,29.4,30.8,25.5,27.4,27.9,27.1,24.2
200809,27.5,28.3,27.1,28.1,30.4,29.7,27.3,29,25.7,23.1
200810,24.4,25.2,23.4,26.4,29.1,23.6,23.9,23.9,23.6,20.2
200811,23.5,24.9,23.4,27.2,28,22.8,22,21,22.9,18.4
200812,18.9,21,20.3,17.6,23.2,22,15.1,14.8,15.1,13.4
200901,21.3,23.2,22.8,21.9,24.6,21.7,19.2,19.7,18.9,13.2
200902,21.1,23.3,22.5,20.9,25,25.6,18.1,19.6,16.8,13.2
200903,25.8,26.9,26.2,25.5,28.3,28.1,25.6,25.2,25.7,18.8
200904,30.4,31.6,31.6,29.3,32.1,32.3,30.2,29.8,30.3,22.9
200905,34.5,34.8,35.8,31.1,33.3,36.2,35.3,35.7,35,30.7
200906,40.6,40.9,42.3,37.2,39.2,40,40.4,41.1,40.1,38.8
200907,39.6,38.7,37,37,42,41.3,42.6,44.2,41.2,39.1
200908,40.7,39.4,38.5,38.2,41,42.3,43.9,45.5,43,42
200909,42.9,41.7,40.3,41.2,44.3,42.7,46,48.5,44.1,44
200910,43.3,41,40.4,40.3,41.6,45.4,47.2,47.4,46.8,48.9
200911,37.1,34.5,33.6,31.2,35.5,41.2,41.7,43.2,40.4,43.9
200912,38.4,36.6,37.7,30.8,35.2,39,40.7,43.9,38,45.6
201001,42.8,41.6,41.1,37.3,43.3,42,44.5,46.7,42.9,46.9
201002,43.4,42.1,41.6,39.3,44.4,39.9,44.8,46.8,43.5,48.5
201003,44.2,42.7,42.3,39.5,44.3,42.7,46.1,47.6,45.1,49.4
201004,45.7,43.7,42.7,42.1,46.8,41.8,48.1,49.7,47,52.9
201005,45.2,43.4,43.1,40.9,45.1,42.5,47.1,49.3,45.3,52.9
201006,45.8,44.7,44.9,40.2,46.2,41,44.9,46.5,43.7,55.1
201007,46.8,46.4,47.4,45.2,45.7,42.9,44.9,46.3,43.9,53.3
201008,44.7,44.8,46.8,37.7,44,38.7,41.9,44.5,39.4,50.2
201009,42,40.6,40.1,35.6,42.7,41.7,42.3,41.9,42.2,50.3
201010,43.5,42.8,42.5,38.5,44.5,42,42.1,40.9,42.7,51.6
201011,47.1,45.9,46.4,42.8,45.1,48.4,47,45.5,47.5,55.3
201012,47.7,47,47.6,43.3,46,49.6,46.5,47.4,45.6,55.5
201101,47.9,46.5,47,43.2,45.9,47.4,47.6,48.6,47.2,58.3
201102,49.1,48.2,49.2,46.6,46.3,49.6,47.4,49.1,46.3,58.5
201103,24,20.9,23.1,10.4,17.4,27.6,28.2,32.1,24.7,34.6
201104,23.9,22.2,24,14.8,19.6,25.6,25.7,27.8,23.5,30.4
201105,33.5,33.6,35.1,28.1,31.8,34.3,32.8,33.2,32.3,34.7
201106,48.2,48.5,48.1,47.8,50.1,44.7,45.4,47.5,44.1,52.5
201107,50,49.3,49,48.7,51.1,45.1,48.6,50.9,47.3,57.9
201108,47.3,45.5,43,43.3,50.7,46.6,48,47,49.1,57.9
201109,46.8,44.8,42.6,44.7,49.1,45.1,47.5,49,46.5,58.4
201110,49.8,48.6,48.6,47.3,49.6,46,49.5,49.9,49.6,57.9
201111,48.6,47.3,45.8,48.3,49.2,51.1,48.7,48.9,48.9,57.6
201112,48.9,48.1,49,44.2,47.9,44.9,47.2,46.8,47.3,58.7
201201,46.6,45.9,45.9,45.6,45.9,45.7,44.8,45.3,44.7,55.7
201202,46.1,45,44.9,41.4,46.1,45,44.5,44.6,44.3,56.4
201203,47.5,46.1,44.8,43.8,49.2,47.9,48.3,49,48.3,54.6
201204,46.9,46.1,44.3,43.8,50.1,46.8,45.5,45.7,45.7,56.1
201205,45,43.9,41.9,42,47.5,48.8,44.5,43.8,45.3,53.5
201206,42.6,40.8,38.5,36.7,44.9,47.3,43.2,43.4,43.3,53.5
201207,42.3,41,38.5,41.4,44.8,47.7,42.1,41.2,43.1,51.1
201208,44.3,43,41.1,42.7,45.3,50.5,44.4,42.3,45.9,52.6
201209,43.4,42.6,40.8,43.8,44.4,49.9,41.9,39.9,43.4,51.8
201210,42.9,42.6,41.9,40.7,43,48.3,41.6,40.1,43.3,47.6
201211,43.9,43.3,43.1,38.1,43.3,51.1,43.5,42.5,44.5,48.9
201212,47.1,46.6,46.1,37.9,48.1,53.8,46.6,44.5,48.1,51.4
201301,51.1,50.4,49.4,47.9,51.4,57.3,51.7,48.1,54.5,54.5
201302,52.6,51.4,49.8,50.5,53.6,58.3,54.2,51.4,56.8,56.7
201303,53.2,52.3,51,53.4,53.2,59.2,53.1,50.7,55.1,59.3
201304,52.7,51.3,49,53.7,53.7,59.9,54.1,52.7,55.7,59.1
201305,53.9,52.1,50.7,51.2,53.6,59.4,56.3,55.4,57.4,60.1
201306,52.5,51.6,51.2,47.8,51.9,58.7,52.2,51.9,52.6,58.3
201307,50.7,49,48.2,45.4,49.7,57.5,52.3,52.7,52.4,57.9
201308,52,50.3,50.1,47.1,50.5,54.3,54,52.8,54.9,59.1
201309,54.9,52.9,52.9,47.7,51.8,62.9,57.8,55.3,60,61.8
201310,55.3,53.1,53.3,49.5,52.6,56.9,57.7,55.8,59.6,64.6
201311,56.9,55,56.8,49.7,53.3,51.1,58.6,58.3,59.4,65.2
201312,56.5,53.8,55.3,49.3,52.7,49.2,60.7,60.5,61.1,64.8
201401,55.7,53.7,55.4,48.5,52,50.3,58.6,58,58.9,62.6
201402,52.3,49.8,50.9,44.9,48.8,48.8,55.9,53.5,58,60.5
201403,54.1,52.8,56.6,43.6,48.3,46.8,55.6,53.6,57.1,59
201404,38.4,33.3,27.7,42.6,41.3,41.3,46.5,48,45.4,53.3
201405,43.4,39.8,36.5,41.9,46,42.5,47.1,48.1,46.3,57.8
201406,47.7,45.1,42.7,47.1,49.6,45.6,50.1,49.6,50.8,58.8
201407,50.1,48.1,46.7,48.5,50.1,51.3,52.3,53.2,51.4,58
201408,48.6,47.1,46.1,47,49,48.6,49.5,49.9,49.1,55.7
201409,49.2,48.6,48.1,47.4,50.1,48.1,49.4,49.6,49.3,52.9
201410,47,45.7,45.2,41.7,47.9,44.8,48.4,47.5,49.2,52.4
201411,44.3,42.5,41.1,40.2,45.9,44.4,46.3,45,47.5,50.8
201412,45.4,44.2,43.1,41.8,46.5,46.4,46.4,45.7,46.5,50.6
201501,46.1,44.7,43.3,42.1,47.9,46.7,47.5,45.6,48.9,52.8
201502,49.5,48.2,46.8,52,50.5,46.4,50.1,49.5,50.7,57.2
201503,49.3,47.9,46.6,49.8,50.9,45,50.2,47.9,51.8,56.2
201504,50.8,49.8,50,42.5,51.5,49.4,51.3,49,52.9,56.3
201505,51.8,51.5,50,50.9,54.4,51.9,50.4,48.4,52.2,57.3
201506,51.1,50.4,49.3,49.4,53.2,48.2,51.1,50.8,51.6,55.7
201507,50.5,49.5,48.9,48.3,51.9,45.4,51.2,50.5,51.8,56.2
201508,50.4,50,49.6,48.1,51.8,46.6,49.5,47.8,51.1,55.5
201509,48.8,48.2,46.7,47.5,51.8,46.5,48,46.8,49.2,54.5
201510,50.6,50.8,50.2,50.1,52.2,50.6,49,48.4,49.2,52.9
201511,48.6,47.2,44.8,46.4,51,53.6,49,47.6,49.8,56.5
201512,48.5,47.4,45.4,49.6,50.1,50.6,48.4,45.3,51,56.2
201601,47.3,46.6,45.7,47.2,48.4,45.8,46.7,45.4,47.9,52.8
201602,44.2,43.1,41.8,43.9,45.8,42.4,45.1,43.9,46,49.9
201603,42.5,41.1,39.5,37.7,44.1,45.9,44.4,43.4,44.7,48.1
201604,40.9,39,37.2,35.4,41.8,46.8,43.9,43.8,44,47.6
201605,42,40.4,38.7,39.4,43.1,45,43.9,43.2,44.7,48.5
201606,41.3,40.2,38.3,40.9,43.1,43.9,41.8,41.8,41.7,47.3
201607,44.1,43.2,41.8,43.3,45.4,45.4,44.1,43.8,44.7,49.7
201608,46.2,44.6,42.8,44.1,47.7,47.5,48.4,47.1,49.6,52.3
201609,46.3,44.2,42.5,43.2,47.4,46.5,49.2,49.3,49.3,53.9
201610,48.3,46.7,46,44.8,49,44.2,49.9,49.5,50.2,55.4
201611,50.5,49.4,49.4,47.9,49.7,50,51.5,51.8,51.3,55.8
201612,50.7,48.8,48.1,50,50,49.1,52.9,53.2,52.7,58.4
201701,49.4,48.2,48,48.4,48.4,48.7,50.7,50.2,51.5,54.9
201702,48.8,47.4,46.2,47.3,49.7,48.3,50.2,49,51.3,54.8
201703,47.9,46.7,45.4,44.9,49.9,44.9,48.7,48.2,49.2,54.4
201704,48.5,47.2,45.8,47.4,49.9,47.3,49.3,49.1,49.5,55.5
201705,49.1,47.4,46,47,50,48.3,51.6,51.2,52.2,55
