Month,Total,Kakei,Kakei(kouri),Kakei(inshoku),Kakei(service),Kakei(zyutaku),Kigyo,Kigyo(maker),Kigyo(non-maker),Koyou
201601,47.3,46.6,45.7,47.2,48.4,45.8,46.7,45.4,47.9,52.8
201602,44.2,43.1,41.8,43.9,45.8,42.4,45.1,43.9,46,49.9
201603,42.5,41.1,39.5,37.7,44.1,45.9,44.4,43.4,44.7,48.1
201604,40.9,39,37.2,35.4,41.8,46.8,43.9,43.8,44,47.6
201605,42,40.4,38.7,39.4,43.1,45,43.9,43.2,44.7,48.5
201606,41.3,40.2,38.3,40.9,43.1,43.9,41.8,41.8,41.7,47.3
201607,44.1,43.2,41.8,43.3,45.4,45.4,44.1,43.8,44.7,49.7
201608,46.2,44.6,42.8,44.1,47.7,47.5,48.4,47.1,49.6,52.3
201609,46.3,44.2,42.5,43.2,47.4,46.5,49.2,49.3,49.3,53.9
201610,48.3,46.7,46,44.8,49,44.2,49.9,49.5,50.2,55.4
201611,50.5,49.4,49.4,47.9,49.7,50,51.5,51.8,51.3,55.8
201612,50.7,48.8,48.1,50,50,49.1,52.9,53.2,52.7,58.4
201701,49.4,48.2,48,48.4,48.4,48.7,50.7,50.2,51.5,54.9
201702,48.8,47.4,46.2,47.3,49.7,48.3,50.2,49,51.3,54.8
201703,47.9,46.7,45.4,44.9,49.9,44.9,48.7,48.2,49.2,54.4
201704,48.5,47.2,45.8,47.4,49.9,47.3,49.3,49.1,49.5,55.5
201705,49.1,47.4,46,47,50,48.3,51.6,51.2,52.2,55
201706,50,48.3,47.5,46.8,49.7,50.1,52.2,51.9,52.8,56.9
201707,49.9,48.4,47.6,46.5,50.2,49.6,51.4,50.9,51.9,56.8
201708,50,48.2,47.4,49,49.3,48.8,52.1,52.7,51.7,57.1
201709,51.1,49.9,50.2,50,49.5,49.6,52.3,52.6,52.4,56.6
201710,52,49.6,49.5,44,50.2,54,55.8,55.3,56.2,59.1
201711,54.1,52.7,52.6,51.3,53.5,51.4,55.3,54.8,55.8,61.3
201712,53.9,52.3,52.5,51.1,52.2,52.8,55.7,56.9,54.5,60.7
