Month,worker,employee,regular,irregular,parttime,temporary,contract,parttime2,other
201301,5502,5168,3336,1823,1270,121,246,104,83
201302,5515,5174,3273,1900,1300,131,268,111,90
201303,5485,5142,3255,1887,1288,120,272,124,82
201304,5530,5181,3328,1852,1287,105,264,118,78
201305,5554,5213,3323,1891,1296,116,276,117,85
201306,5571,5226,3326,1900,1298,114,277,121,89
201307,5547,5193,3313,1879,1303,104,273,118,81
201308,5562,5216,3309,1906,1328,108,277,112,81
201309,5575,5232,3291,1940,1349,119,283,116,73
201310,5596,5256,3291,1964,1369,121,282,116,77
201311,5619,5274,3310,1964,1380,116,278,112,78
201312,5583,5240,3273,1967,1371,114,282,114,86
201401,5548,5198,3242,1956,1345,113,295,120,83
201402,5544,5208,3219,1989,1359,117,296,125,91
201403,5541,5198,3233,1964,1349,117,288,123,87
201404,5549,5198,3288,1909,1318,114,277,116,84
201405,5592,5246,3324,1921,1316,116,293,112,84
201406,5617,5260,3324,1936,1325,110,295,117,89
201407,5600,5247,3307,1939,1322,119,285,125,89
201408,5600,5253,3305,1948,1333,112,296,119,88
201409,5636,5298,3327,1970,1352,117,297,114,91
201410,5629,5279,3298,1980,1357,127,299,117,80
201411,5637,5294,3281,2012,1380,135,289,124,84
201412,5645,5308,3291,2016,1403,125,288,118,82
201501,5611,5263,3273,1989,1367,122,299,115,87
201502,5595,5252,3277,1974,1358,122,295,114,85
201503,5580,5245,3271,1973,1356,117,297,116,87
201504,5578,5233,3294,1939,1329,111,293,119,88
201505,5624,5281,3331,1949,1333,120,287,124,85
201506,5665,5315,3345,1970,1345,126,283,126,90
201507,5632,5293,3336,1956,1332,131,293,118,82
201508,5639,5302,3329,1972,1339,132,298,120,85
201509,5687,5335,3348,1986,1382,136,265,117,86
201510,5704,5328,3331,1997,1394,133,281,114,76
201511,5676,5310,3300,2010,1408,134,281,113,75
201512,5694,5355,3316,2038,1441,134,275,113,76
201601,5712,5366,3329,2037,1417,135,291,114,80
201602,5684,5342,3333,2008,1397,134,288,116,73
201603,5649,5313,3338,1975,1371,127,286,118,73
201604,5679,5338,3375,1962,1352,125,288,127,70
201605,5718,5366,3376,1990,1359,131,293,128,80
201606,5740,5393,3376,2016,1388,137,284,123,84
201607,5721,5382,3357,2025,1413,134,282,113,83
201608,5722,5382,3353,2028,1392,134,290,119,93
201609,5771,5419,3396,2023,1390,143,281,119,89
201610,5793,5433,3405,2028,1412,132,279,117,89
201611,5758,5391,3356,2034,1417,133,291,115,78
201612,5798,5443,3379,2064,1463,126,283,115,76
201701,5793,5455,3407,2047,1448,124,284,113,78
201702,5754,5402,3397,2005,1407,132,273,112,82
201703,5728,5375,3376,1998,1394,132,285,113,73
201704,5757,5404,3400,2004,1395,133,288,117,71
201705,5796,5441,3437,2003,1374,132,298,122,77
201706,5848,5505,3457,2046,1405,139,300,124,79
201707,5839,5497,3429,2068,1427,140,300,119,82
201708,5840,5476,3421,2054,1423,138,289,126,78
201709,5866,5511,3483,2028,1407,140,293,116,71
201710,5877,5525,3485,2041,1415,136,291,118,81
201711,5865,5518,3456,2061,1429,134,293,127,78
201712,5863,5522,3441,2081,1443,130,301,128,80
201801,5880,5566,3447,2119,1468,143,313,118,77
201802,5875,5551,3430,2120,1476,145,304,117,78
201803,5872,5528,3417,2111,1492,130,296,113,80
201804,5916,5572,3467,2104,1475,134,292,122,80
201805,5931,5590,3511,2079,1450,136,287,126,80
201806,5940,5603,3501,2102,1474,136,293,119,81
201807,5953,5626,3522,2103,1481,134,296,117,76
201808,5953,5622,3515,2108,1483,133,292,121,78
201809,5966,5634,3490,2143,1509,135,297,124,78
201810,5996,5678,3522,2156,1536,130,290,124,76
201811,5983,5661,3519,2142,1524,136,279,120,84
201812,5963,5634,3478,2156,1514,139,289,121,93
201901,5953,5628,3474,2154,1506,140,299,120,88
201902,5962,5643,3486,2157,1504,141,302,122,88
201903,5948,5616,3439,2176,1528,146,309,117,77
