Month,worker,employee,regular,irregular,parttime,temporary,contract,parttime2,other
201601,5712,5366,3329,2037,1417,135,291,114,80
201602,5684,5342,3333,2008,1397,134,288,116,73
201603,5649,5313,3338,1975,1371,127,286,118,73
201604,5679,5338,3375,1962,1352,125,288,127,70
201605,5718,5366,3376,1990,1359,131,293,128,80
201606,5740,5393,3376,2016,1388,137,284,123,84
201607,5721,5382,3357,2025,1413,134,282,113,83
201608,5722,5382,3353,2028,1392,134,290,119,93
201609,5771,5419,3396,2023,1390,143,281,119,89
201610,5793,5433,3405,2028,1412,132,279,117,89
201611,5758,5391,3356,2034,1417,133,291,115,78
201612,5798,5443,3379,2064,1463,126,283,115,76
201701,5793,5455,3407,2047,1448,124,284,113,78
201702,5754,5402,3397,2005,1407,132,273,112,82
201703,5728,5375,3376,1998,1394,132,285,113,73
201704,5757,5404,3400,2004,1395,133,288,117,71
201705,5796,5441,3437,2003,1374,132,298,122,77
201706,5848,5505,3457,2046,1405,139,300,124,79
201707,5839,5497,3429,2068,1427,140,300,119,82
201708,5840,5476,3421,2054,1423,138,289,126,78
201709,5866,5511,3483,2028,1407,140,293,116,71
201710,5877,5525,3485,2041,1415,136,291,118,81
201711,5865,5518,3456,2061,1429,134,293,127,78
201712,5863,5522,3441,2081,1443,130,301,128,80
